seed_id,question,expected_answer,candidate_answer,keywords,question_type,quality_label,quality_score
51,What is data preprocessing?,Data preprocessing is the process of cleaning and transforming raw data into a suitable format for analysis or machine learning.,Data preprocessing means cleaning data before analysis.,"['data preprocessing', 'cleaning', 'transforming', 'raw data', 'machine learning']",Data Science,Average,50
52,What is data preprocessing?,Data preprocessing is the process of cleaning and transforming raw data into a suitable format for analysis or machine learning.,It is something done with data.,"['data preprocessing', 'cleaning', 'transforming', 'raw data', 'machine learning']",Data Science,Poor,25
53,What is exploratory data analysis?,"Exploratory data analysis is the process of examining and visualizing a dataset to understand patterns, relationships, distributions, and anomalies.","Exploratory data analysis is the process of examining and visualizing a dataset to understand distributions, patterns, relationships, trends, and unusual values before further analysis or modeling.","['exploratory data analysis', 'dataset', 'visualizing', 'patterns', 'relationships', 'anomalies']",Data Science,Excellent,100
54,What is exploratory data analysis?,"Exploratory data analysis is the process of examining and visualizing a dataset to understand patterns, relationships, distributions, and anomalies.","EDA involves examining and visualizing data to identify patterns, relationships, and unusual values.","['exploratory data analysis', 'dataset', 'visualizing', 'patterns', 'relationships', 'anomalies']",Data Science,Good,75
55,What is exploratory data analysis?,"Exploratory data analysis is the process of examining and visualizing a dataset to understand patterns, relationships, distributions, and anomalies.",EDA is used to understand a dataset before building a model.,"['exploratory data analysis', 'dataset', 'visualizing', 'patterns', 'relationships', 'anomalies']",Data Science,Average,50
56,What is exploratory data analysis?,"Exploratory data analysis is the process of examining and visualizing a dataset to understand patterns, relationships, distributions, and anomalies.",It is analyzing data.,"['exploratory data analysis', 'dataset', 'visualizing', 'patterns', 'relationships', 'anomalies']",Data Science,Poor,25
57,What is feature engineering?,"Feature engineering is the process of creating, transforming, or selecting useful input features from raw data to improve machine learning performance.","Feature engineering is the process of creating, transforming, or selecting useful input features from raw data to improve the performance of a machine learning model.","['feature engineering', 'features', 'raw data', 'transforming', 'machine learning']",Data Science,Excellent,100
58,What is feature engineering?,"Feature engineering is the process of creating, transforming, or selecting useful input features from raw data to improve machine learning performance.",Feature engineering involves transforming or creating useful features from raw data to help a machine learning model perform better.,"['feature engineering', 'features', 'raw data', 'transforming', 'machine learning']",Data Science,Good,75
59,What is feature engineering?,"Feature engineering is the process of creating, transforming, or selecting useful input features from raw data to improve machine learning performance.",Feature engineering means preparing useful features from data for machine learning.,"['feature engineering', 'features', 'raw data', 'transforming', 'machine learning']",Data Science,Average,50
60,What is feature engineering?,"Feature engineering is the process of creating, transforming, or selecting useful input features from raw data to improve machine learning performance.",It is related to machine learning features.,"['feature engineering', 'features', 'raw data', 'transforming', 'machine learning']",Data Science,Poor,25
61,What is NumPy?,NumPy is a Python library used for numerical computing. It provides multidimensional arrays and efficient mathematical operations on data.,NumPy is a Python library used for numerical computing. It provides multidimensional arrays and efficient mathematical operations on data.,"['NumPy', 'numerical', 'arrays', 'mathematical']",Data Science,Excellent,100
62,What is NumPy?,NumPy is a Python library used for numerical computing. It provides multidimensional arrays and efficient mathematical operations on data.,NumPy is a Python library for numerical computing that provides arrays and mathematical operations.,"['NumPy', 'numerical', 'arrays', 'mathematical']",Data Science,Good,75
63,What is NumPy?,NumPy is a Python library used for numerical computing. It provides multidimensional arrays and efficient mathematical operations on data.,NumPy is used to work with numerical data and arrays in Python.,"['NumPy', 'numerical', 'arrays', 'mathematical']",Data Science,Average,50
64,What is NumPy?,NumPy is a Python library used for numerical computing. It provides multidimensional arrays and efficient mathematical operations on data.,NumPy is a Python library.,"['NumPy', 'numerical', 'arrays', 'mathematical']",Data Science,Poor,25
65,What is Pandas?,Pandas is a Python library used for data manipulation and analysis. It provides data structures such as Series and DataFrame for working with structured data.,Pandas is a Python library used for data manipulation and analysis. It provides data structures such as Series and DataFrame for working with structured data.,"['Pandas', 'data manipulation', 'DataFrame', 'Series']",Data Science,Excellent,100
66,What is Pandas?,Pandas is a Python library used for data manipulation and analysis. It provides data structures such as Series and DataFrame for working with structured data.,Pandas is a Python library used for manipulating and analyzing structured data using DataFrames and Series.,"['Pandas', 'data manipulation', 'DataFrame', 'Series']",Data Science,Good,75
67,What is Pandas?,Pandas is a Python library used for data manipulation and analysis. It provides data structures such as Series and DataFrame for working with structured data.,Pandas is commonly used to work with and analyze data in Python.,"['Pandas', 'data manipulation', 'DataFrame', 'Series']",Data Science,Average,50
68,What is Pandas?,Pandas is a Python library used for data manipulation and analysis. It provides data structures such as Series and DataFrame for working with structured data.,Pandas is a Python library for data.,"['Pandas', 'data manipulation', 'DataFrame', 'Series']",Data Science,Poor,25
69,What is mean in statistics?,Mean is the average of a set of numerical values. It is calculated by adding all the values and dividing the sum by the number of values.,Mean is the average of a set of numerical values. It is calculated by adding all the values and dividing the sum by the number of values.,"['mean', 'average', 'sum', 'values']",Statistics,Excellent,100
70,What is mean in statistics?,Mean is the average of a set of numerical values. It is calculated by adding all the values and dividing the sum by the number of values.,"Mean is the average value of a dataset, calculated by dividing the sum of the values by the number of values.","['mean', 'average', 'sum', 'values']",Statistics,Good,75
71,What is mean in statistics?,Mean is the average of a set of numerical values. It is calculated by adding all the values and dividing the sum by the number of values.,Mean is used to find the average of numerical values.,"['mean', 'average', 'sum', 'values']",Statistics,Average,50
72,What is mean in statistics?,Mean is the average of a set of numerical values. It is calculated by adding all the values and dividing the sum by the number of values.,Mean is an average.,"['mean', 'average', 'sum', 'values']",Statistics,Poor,25
73,What is a stack in data structures?,A stack is a linear data structure that follows the Last In First Out principle. Elements are added and removed from the top of the stack.,A stack is a linear data structure that follows the Last In First Out principle. Elements are added and removed from the top of the stack.,"['stack', 'LIFO', 'data structure', 'top']",Data Structures,Excellent,100
74,What is a stack in data structures?,A stack is a linear data structure that follows the Last In First Out principle. Elements are added and removed from the top of the stack.,"A stack is a data structure that follows LIFO, where elements are inserted and removed from the top.","['stack', 'LIFO', 'data structure', 'top']",Data Structures,Good,75
75,What is a stack in data structures?,A stack is a linear data structure that follows the Last In First Out principle. Elements are added and removed from the top of the stack.,A stack stores elements and follows the LIFO principle.,"['stack', 'LIFO', 'data structure', 'top']",Data Structures,Average,50
76,What is a stack in data structures?,A stack is a linear data structure that follows the Last In First Out principle. Elements are added and removed from the top of the stack.,A stack is used to store data.,"['stack', 'LIFO', 'data structure', 'top']",Data Structures,Poor,25
77,What is binary search?,Binary search is an efficient searching algorithm that works on sorted data by repeatedly dividing the search space into two halves.,Binary search is an efficient searching algorithm that works on sorted data by repeatedly dividing the search space into two halves.,"['binary search', 'sorted', 'algorithm', 'halves']",Algorithms,Excellent,100
78,What is binary search?,Binary search is an efficient searching algorithm that works on sorted data by repeatedly dividing the search space into two halves.,Binary search searches sorted data by repeatedly dividing the search range into two halves.,"['binary search', 'sorted', 'algorithm', 'halves']",Algorithms,Good,75
79,What is binary search?,Binary search is an efficient searching algorithm that works on sorted data by repeatedly dividing the search space into two halves.,Binary search is an algorithm used to find an element in sorted data.,"['binary search', 'sorted', 'algorithm', 'halves']",Algorithms,Average,50
80,What is binary search?,Binary search is an efficient searching algorithm that works on sorted data by repeatedly dividing the search space into two halves.,Binary search is a searching algorithm.,"['binary search', 'sorted', 'algorithm', 'halves']",Algorithms,Poor,25
81,What is a tuple in Python?,A tuple is an ordered and immutable collection in Python. It can store multiple values and is commonly used when the data should not be changed.,A tuple is an ordered and immutable collection in Python. It can store multiple values and is useful when the data should not be changed.,"['tuple', 'ordered', 'immutable', 'collection']",Python,Excellent,100
82,What is a tuple in Python?,A tuple is an ordered and immutable collection in Python. It can store multiple values and is commonly used when the data should not be changed.,A tuple is an ordered collection in Python that cannot be modified after it is created.,"['tuple', 'ordered', 'immutable', 'collection']",Python,Good,75
83,What is a tuple in Python?,A tuple is an ordered and immutable collection in Python. It can store multiple values and is commonly used when the data should not be changed.,A tuple is used to store multiple values and is immutable.,"['tuple', 'ordered', 'immutable', 'collection']",Python,Average,50
84,What is a tuple in Python?,A tuple is an ordered and immutable collection in Python. It can store multiple values and is commonly used when the data should not be changed.,A tuple is a Python data type.,"['tuple', 'ordered', 'immutable', 'collection']",Python,Poor,25
85,What is a dictionary in Python?,A dictionary is a mutable data structure in Python that stores data as key-value pairs. Keys are used to access their corresponding values.,A dictionary is a mutable data structure in Python that stores data as key-value pairs. Keys are used to access their corresponding values.,"['dictionary', 'key-value', 'keys', 'values']",Python,Excellent,100
86,What is a dictionary in Python?,A dictionary is a mutable data structure in Python that stores data as key-value pairs. Keys are used to access their corresponding values.,"A dictionary stores data as key-value pairs, where keys are used to access values.","['dictionary', 'key-value', 'keys', 'values']",Python,Good,75
87,What is a dictionary in Python?,A dictionary is a mutable data structure in Python that stores data as key-value pairs. Keys are used to access their corresponding values.,A dictionary is used to store data using keys and values.,"['dictionary', 'key-value', 'keys', 'values']",Python,Average,50
88,What is a dictionary in Python?,A dictionary is a mutable data structure in Python that stores data as key-value pairs. Keys are used to access their corresponding values.,A dictionary is used to store data.,"['dictionary', 'key-value', 'keys', 'values']",Python,Poor,25
89,What is a queue in data structures?,A queue is a linear data structure that follows the First In First Out principle. Elements are inserted at the rear and removed from the front.,A queue is a linear data structure that follows the First In First Out principle. Elements are inserted at the rear and removed from the front.,"['queue', 'FIFO', 'rear', 'front']",Data Structures,Excellent,100
90,What is a queue in data structures?,A queue is a linear data structure that follows the First In First Out principle. Elements are inserted at the rear and removed from the front.,"A queue is a data structure that follows FIFO, where elements are added at the rear and removed from the front.","['queue', 'FIFO', 'rear', 'front']",Data Structures,Good,75
91,What is a queue in data structures?,A queue is a linear data structure that follows the First In First Out principle. Elements are inserted at the rear and removed from the front.,A queue stores elements and follows the FIFO principle.,"['queue', 'FIFO', 'rear', 'front']",Data Structures,Average,50
92,What is a queue in data structures?,A queue is a linear data structure that follows the First In First Out principle. Elements are inserted at the rear and removed from the front.,A queue is used to store data.,"['queue', 'FIFO', 'rear', 'front']",Data Structures,Poor,25
93,What is polymorphism in OOP?,Polymorphism is an OOP concept that allows the same interface or method name to perform different behaviors depending on the object or context.,Polymorphism is an OOP concept that allows the same interface or method name to perform different behaviors depending on the object or context.,"['polymorphism', 'OOP', 'method', 'different behavior']",OOP,Excellent,100
94,What is polymorphism in OOP?,Polymorphism is an OOP concept that allows the same interface or method name to perform different behaviors depending on the object or context.,Polymorphism allows the same method or interface to behave differently depending on the object or context.,"['polymorphism', 'OOP', 'method', 'different behavior']",OOP,Good,75
95,What is polymorphism in OOP?,Polymorphism is an OOP concept that allows the same interface or method name to perform different behaviors depending on the object or context.,Polymorphism means that the same method can have different behavior.,"['polymorphism', 'OOP', 'method', 'different behavior']",OOP,Average,50
96,What is polymorphism in OOP?,Polymorphism is an OOP concept that allows the same interface or method name to perform different behaviors depending on the object or context.,Polymorphism is an OOP concept.,"['polymorphism', 'OOP', 'method', 'different behavior']",OOP,Poor,25
97,What is a JOIN in SQL?,A JOIN in SQL is used to combine rows from two or more tables based on a related column between them.,"A JOIN in SQL combines rows from two or more tables using a related column. Common types include INNER JOIN, LEFT JOIN, RIGHT JOIN, and FULL JOIN.","['JOIN', 'SQL', 'tables', 'related', 'column']",SQL,Excellent,100
98,What is a JOIN in SQL?,A JOIN in SQL is used to combine rows from two or more tables based on a related column between them.,A JOIN combines data from multiple tables based on a related column.,"['JOIN', 'SQL', 'tables', 'related', 'column']",SQL,Good,75
99,What is a JOIN in SQL?,A JOIN in SQL is used to combine rows from two or more tables based on a related column between them.,A JOIN is used to get data from different tables together.,"['JOIN', 'SQL', 'tables', 'related', 'column']",SQL,Average,50
100,What is a JOIN in SQL?,A JOIN in SQL is used to combine rows from two or more tables based on a related column between them.,A JOIN connects tables in SQL.,"['JOIN', 'SQL', 'tables', 'related', 'column']",SQL,Poor,25
101,What is a Python function?,A function is a reusable block of Python code designed to perform a specific task. It can accept parameters and return a result.,A function is a reusable block of Python code designed to perform a specific task. It can accept parameters and return a result.,"['function', 'reusable', 'parameters', 'return']",Python,Excellent,100
102,What is a Python function?,A function is a reusable block of Python code designed to perform a specific task. It can accept parameters and return a result.,A Python function is a reusable block of code that performs a specific task and can accept parameters and return a result.,"['function', 'reusable', 'parameters', 'return']",Python,Good,75
103,What is a Python function?,A function is a reusable block of Python code designed to perform a specific task. It can accept parameters and return a result.,A function is used to perform a particular task in Python.,"['function', 'reusable', 'parameters', 'return']",Python,Average,50
104,What is a Python function?,A function is a reusable block of Python code designed to perform a specific task. It can accept parameters and return a result.,A function is a block of code.,"['function', 'reusable', 'parameters', 'return']",Python,Poor,25
105,What is train-test splitting?,"Train-test splitting divides a dataset into training and testing subsets. The training data is used to learn the model, while the testing data evaluates its performance on unseen data.","Train-test splitting divides a dataset into training and testing subsets. The training data is used to learn the model, while the testing data evaluates its performance on unseen data.","['train', 'test', 'training data', 'testing data', 'unseen data']",Machine Learning,Excellent,100
106,What is train-test splitting?,"Train-test splitting divides a dataset into training and testing subsets. The training data is used to learn the model, while the testing data evaluates its performance on unseen data.",Train-test splitting divides data into training and testing sets. The training set is used to build the model and the test set evaluates it.,"['train', 'test', 'training data', 'testing data', 'unseen data']",Machine Learning,Good,75
107,What is train-test splitting?,"Train-test splitting divides a dataset into training and testing subsets. The training data is used to learn the model, while the testing data evaluates its performance on unseen data.",It separates a dataset into training data and testing data.,"['train', 'test', 'training data', 'testing data', 'unseen data']",Machine Learning,Average,50
108,What is train-test splitting?,"Train-test splitting divides a dataset into training and testing subsets. The training data is used to learn the model, while the testing data evaluates its performance on unseen data.",It splits the data.,"['train', 'test', 'training data', 'testing data', 'unseen data']",Machine Learning,Poor,25
109,What is a DataFrame in Pandas?,A DataFrame is a two-dimensional labeled data structure in Pandas that organizes data into rows and columns and supports data manipulation and analysis.,A DataFrame is a two-dimensional labeled data structure in Pandas that organizes data into rows and columns and supports data manipulation and analysis.,"['DataFrame', 'Pandas', 'rows', 'columns', 'data']",Data Science,Excellent,100
110,What is a DataFrame in Pandas?,A DataFrame is a two-dimensional labeled data structure in Pandas that organizes data into rows and columns and supports data manipulation and analysis.,A DataFrame is a two-dimensional structure in Pandas that stores data in rows and columns.,"['DataFrame', 'Pandas', 'rows', 'columns', 'data']",Data Science,Good,75
111,What is a DataFrame in Pandas?,A DataFrame is a two-dimensional labeled data structure in Pandas that organizes data into rows and columns and supports data manipulation and analysis.,A DataFrame is used to store and work with data in Pandas.,"['DataFrame', 'Pandas', 'rows', 'columns', 'data']",Data Science,Average,50
112,What is a DataFrame in Pandas?,A DataFrame is a two-dimensional labeled data structure in Pandas that organizes data into rows and columns and supports data manipulation and analysis.,A DataFrame is a Pandas data structure.,"['DataFrame', 'Pandas', 'rows', 'columns', 'data']",Data Science,Poor,25
113,What is normalization in machine learning?,"Normalization is a feature scaling technique that transforms numerical values to a common range, often between zero and one, so features can be compared more effectively.","Normalization is a feature scaling technique that transforms numerical values to a common range, often between zero and one, so features can be compared more effectively.","['normalization', 'scaling', 'features', 'range', 'zero', 'one']",Machine Learning,Excellent,100
114,What is normalization in machine learning?,"Normalization is a feature scaling technique that transforms numerical values to a common range, often between zero and one, so features can be compared more effectively.","Normalization scales numerical features to a common range, often between zero and one.","['normalization', 'scaling', 'features', 'range', 'zero', 'one']",Machine Learning,Good,75
115,What is normalization in machine learning?,"Normalization is a feature scaling technique that transforms numerical values to a common range, often between zero and one, so features can be compared more effectively.",Normalization is used to scale numerical data.,"['normalization', 'scaling', 'features', 'range', 'zero', 'one']",Machine Learning,Average,50
116,What is normalization in machine learning?,"Normalization is a feature scaling technique that transforms numerical values to a common range, often between zero and one, so features can be compared more effectively.",Normalization changes the scale of data.,"['normalization', 'scaling', 'features', 'range', 'zero', 'one']",Machine Learning,Poor,25
117,What is classification in machine learning?,Classification is a supervised learning task that predicts a categorical class or label for an input based on learned patterns from labeled training data.,Classification is a supervised learning task that predicts a categorical class or label for an input based on learned patterns from labeled training data.,"['classification', 'supervised', 'categorical', 'label', 'training data']",Machine Learning,Excellent,100
118,What is classification in machine learning?,Classification is a supervised learning task that predicts a categorical class or label for an input based on learned patterns from labeled training data.,Classification is a supervised learning technique used to predict categories or labels from labeled training data.,"['classification', 'supervised', 'categorical', 'label', 'training data']",Machine Learning,Good,75
