seed_id,variation_id,question,expected_answer,candidate_answer,keywords,question_type,quality_label,quality_score
3,0,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,Python is a programming language used to develop software and applications.,"['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Average,50
3,1,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"In general, Python is a programming language used to develop software and applications.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Average,50
3,2,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"In simple terms, Python is a programming language used to develop software and applications.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Average,50
3,3,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"From a technical perspective, Python is a programming language used to develop software and applications.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Average,50
3,4,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"Overall, Python is a programming language used to develop software and applications.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Average,50
4,0,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,Python is a language used for programming.,"['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Poor,25
4,1,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"In general, Python is a language used for programming.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Poor,25
4,2,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"In simple terms, Python is a language used for programming.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Poor,25
4,3,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"From a technical perspective, Python is a language used for programming.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Poor,25
4,4,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"Overall, Python is a language used for programming.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Poor,25
5,0,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"A list is a mutable and ordered collection in Python that can store multiple values, including duplicate elements and values of different data types.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Excellent,100
5,1,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"In general, A list is a mutable and ordered collection in Python that can store multiple values, including duplicate elements and values of different data types.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Excellent,100
5,2,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"In simple terms, A list is a mutable and ordered collection in Python that can store multiple values, including duplicate elements and values of different data types.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Excellent,100
5,3,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"From a technical perspective, A list is a mutable and ordered collection in Python that can store multiple values, including duplicate elements and values of different data types.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Excellent,100
5,4,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"Overall, A list is a mutable and ordered collection in Python that can store multiple values, including duplicate elements and values of different data types.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Excellent,100
6,0,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,A Python list is an ordered collection that can store multiple values and can be modified after creation.,"['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Good,75
6,1,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"In general, A Python list is an ordered collection that can store multiple values and can be modified after creation.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Good,75
6,2,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"In simple terms, A Python list is an ordered collection that can store multiple values and can be modified after creation.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Good,75
6,3,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"From a technical perspective, A Python list is an ordered collection that can store multiple values and can be modified after creation.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Good,75
6,4,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"Overall, A Python list is an ordered collection that can store multiple values and can be modified after creation.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Good,75
7,0,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,A list stores multiple values in Python.,"['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Average,50
7,1,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"In general, A list stores multiple values in Python.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Average,50
7,2,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"In simple terms, A list stores multiple values in Python.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Average,50
7,3,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"From a technical perspective, A list stores multiple values in Python.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Average,50
7,4,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"Overall, A list stores multiple values in Python.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Average,50
8,0,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,A list is something used in Python.,"['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Poor,25
8,1,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"In general, A list is something used in Python.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Poor,25
8,2,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"In simple terms, A list is something used in Python.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Poor,25
8,3,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"From a technical perspective, A list is something used in Python.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Poor,25
8,4,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"Overall, A list is something used in Python.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Poor,25
9,0,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions or decisions without being explicitly programmed for every task.,"['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Excellent,100
9,1,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,"In general, Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions or decisions without being explicitly programmed for every task.","['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Excellent,100
9,2,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,"In simple terms, Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions or decisions without being explicitly programmed for every task.","['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Excellent,100
9,3,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,"From a technical perspective, Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions or decisions without being explicitly programmed for every task.","['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Excellent,100
9,4,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,"Overall, Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions or decisions without being explicitly programmed for every task.","['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Excellent,100
10,0,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,Machine learning is a part of artificial intelligence where computers learn from data and use the learned patterns to make predictions.,"['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Good,75
10,1,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,"In general, Machine learning is a part of artificial intelligence where computers learn from data and use the learned patterns to make predictions.","['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Good,75
10,2,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,"In simple terms, Machine learning is a part of artificial intelligence where computers learn from data and use the learned patterns to make predictions.","['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Good,75
10,3,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,"From a technical perspective, Machine learning is a part of artificial intelligence where computers learn from data and use the learned patterns to make predictions.","['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Good,75
10,4,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,"Overall, Machine learning is a part of artificial intelligence where computers learn from data and use the learned patterns to make predictions.","['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Good,75
11,0,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,Machine learning allows computers to learn from data.,"['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Average,50
11,1,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,"In general, Machine learning allows computers to learn from data.","['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Average,50
11,2,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,"In simple terms, Machine learning allows computers to learn from data.","['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Average,50
11,3,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,"From a technical perspective, Machine learning allows computers to learn from data.","['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Average,50
11,4,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,"Overall, Machine learning allows computers to learn from data.","['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Average,50
12,0,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,Machine learning is related to computers.,"['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Poor,25
12,1,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,"In general, Machine learning is related to computers.","['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Poor,25
12,2,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,"In simple terms, Machine learning is related to computers.","['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Poor,25
12,3,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,"From a technical perspective, Machine learning is related to computers.","['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Poor,25
12,4,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,"Overall, Machine learning is related to computers.","['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Poor,25
13,0,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,Supervised learning is a machine learning approach where a model learns from labeled training data and uses those learned patterns to make predictions on new unseen data.,"['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Excellent,100
13,1,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,"In general, Supervised learning is a machine learning approach where a model learns from labeled training data and uses those learned patterns to make predictions on new unseen data.","['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Excellent,100
13,2,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,"In simple terms, Supervised learning is a machine learning approach where a model learns from labeled training data and uses those learned patterns to make predictions on new unseen data.","['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Excellent,100
13,3,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,"From a technical perspective, Supervised learning is a machine learning approach where a model learns from labeled training data and uses those learned patterns to make predictions on new unseen data.","['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Excellent,100
13,4,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,"Overall, Supervised learning is a machine learning approach where a model learns from labeled training data and uses those learned patterns to make predictions on new unseen data.","['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Excellent,100
14,0,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,Supervised learning trains a machine learning model using labeled data so that it can predict outcomes for new data.,"['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Good,75
14,1,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,"In general, Supervised learning trains a machine learning model using labeled data so that it can predict outcomes for new data.","['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Good,75
14,2,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,"In simple terms, Supervised learning trains a machine learning model using labeled data so that it can predict outcomes for new data.","['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Good,75
14,3,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,"From a technical perspective, Supervised learning trains a machine learning model using labeled data so that it can predict outcomes for new data.","['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Good,75
14,4,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,"Overall, Supervised learning trains a machine learning model using labeled data so that it can predict outcomes for new data.","['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Good,75
15,0,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,Supervised learning uses data to train a model and make predictions.,"['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Average,50
15,1,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,"In general, Supervised learning uses data to train a model and make predictions.","['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Average,50
15,2,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,"In simple terms, Supervised learning uses data to train a model and make predictions.","['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Average,50
15,3,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,"From a technical perspective, Supervised learning uses data to train a model and make predictions.","['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Average,50
15,4,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,"Overall, Supervised learning uses data to train a model and make predictions.","['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Average,50
16,0,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,It is a type of machine learning.,"['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Poor,25
16,1,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,"In general, It is a type of machine learning.","['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Poor,25
16,2,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,"In simple terms, It is a type of machine learning.","['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Poor,25
16,3,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,"From a technical perspective, It is a type of machine learning.","['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Poor,25
16,4,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,"Overall, It is a type of machine learning.","['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Poor,25
17,0,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"Unsupervised learning is a machine learning approach that discovers patterns, groups, or structures in data without using labeled target values.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Excellent,100
17,1,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"In general, Unsupervised learning is a machine learning approach that discovers patterns, groups, or structures in data without using labeled target values.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Excellent,100
17,2,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"In simple terms, Unsupervised learning is a machine learning approach that discovers patterns, groups, or structures in data without using labeled target values.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Excellent,100
17,3,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"From a technical perspective, Unsupervised learning is a machine learning approach that discovers patterns, groups, or structures in data without using labeled target values.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Excellent,100
17,4,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"Overall, Unsupervised learning is a machine learning approach that discovers patterns, groups, or structures in data without using labeled target values.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Excellent,100
18,0,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,Unsupervised learning finds useful patterns or groups in data when labeled output values are not available.,"['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Good,75
18,1,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"In general, Unsupervised learning finds useful patterns or groups in data when labeled output values are not available.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Good,75
18,2,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"In simple terms, Unsupervised learning finds useful patterns or groups in data when labeled output values are not available.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Good,75
18,3,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"From a technical perspective, Unsupervised learning finds useful patterns or groups in data when labeled output values are not available.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Good,75
18,4,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"Overall, Unsupervised learning finds useful patterns or groups in data when labeled output values are not available.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Good,75
19,0,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,It allows a model to find patterns in data without labels.,"['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Average,50
19,1,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"In general, It allows a model to find patterns in data without labels.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Average,50
19,2,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"In simple terms, It allows a model to find patterns in data without labels.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Average,50
19,3,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"From a technical perspective, It allows a model to find patterns in data without labels.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Average,50
19,4,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"Overall, It allows a model to find patterns in data without labels.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Average,50
20,0,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,It is another type of machine learning.,"['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Poor,25
20,1,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"In general, It is another type of machine learning.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Poor,25
20,2,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"In simple terms, It is another type of machine learning.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Poor,25
20,3,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"From a technical perspective, It is another type of machine learning.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Poor,25
20,4,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"Overall, It is another type of machine learning.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Poor,25
21,0,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including noise, and performs poorly on unseen data.","Overfitting occurs when a machine learning model learns the training data too closely, including noise, and therefore performs very well on training data but poorly on unseen data.","['overfitting', 'model', 'training data', 'noise', 'unseen data']",Machine Learning,Excellent,100
21,1,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including noise, and performs poorly on unseen data.","In general, Overfitting occurs when a machine learning model learns the training data too closely, including noise, and therefore performs very well on training data but poorly on unseen data.","['overfitting', 'model', 'training data', 'noise', 'unseen data']",Machine Learning,Excellent,100
21,2,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including noise, and performs poorly on unseen data.","In simple terms, Overfitting occurs when a machine learning model learns the training data too closely, including noise, and therefore performs very well on training data but poorly on unseen data.","['overfitting', 'model', 'training data', 'noise', 'unseen data']",Machine Learning,Excellent,100
21,3,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including noise, and performs poorly on unseen data.","From a technical perspective, Overfitting occurs when a machine learning model learns the training data too closely, including noise, and therefore performs very well on training data but poorly on unseen data.","['overfitting', 'model', 'training data', 'noise', 'unseen data']",Machine Learning,Excellent,100
21,4,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including noise, and performs poorly on unseen data.","Overall, Overfitting occurs when a machine learning model learns the training data too closely, including noise, and therefore performs very well on training data but poorly on unseen data.","['overfitting', 'model', 'training data', 'noise', 'unseen data']",Machine Learning,Excellent,100
22,0,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including noise, and performs poorly on unseen data.",Overfitting happens when a model fits the training data too closely and performs poorly when given new unseen data.,"['overfitting', 'model', 'training data', 'noise', 'unseen data']",Machine Learning,Good,75
22,1,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including noise, and performs poorly on unseen data.","In general, Overfitting happens when a model fits the training data too closely and performs poorly when given new unseen data.","['overfitting', 'model', 'training data', 'noise', 'unseen data']",Machine Learning,Good,75
22,2,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including noise, and performs poorly on unseen data.","In simple terms, Overfitting happens when a model fits the training data too closely and performs poorly when given new unseen data.","['overfitting', 'model', 'training data', 'noise', 'unseen data']",Machine Learning,Good,75
22,3,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including noise, and performs poorly on unseen data.","From a technical perspective, Overfitting happens when a model fits the training data too closely and performs poorly when given new unseen data.","['overfitting', 'model', 'training data', 'noise', 'unseen data']",Machine Learning,Good,75
22,4,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including noise, and performs poorly on unseen data.","Overall, Overfitting happens when a model fits the training data too closely and performs poorly when given new unseen data.","['overfitting', 'model', 'training data', 'noise', 'unseen data']",Machine Learning,Good,75
23,0,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including noise, and performs poorly on unseen data.",Overfitting means a model learns the training data too much.,"['overfitting', 'model', 'training data', 'noise', 'unseen data']",Machine Learning,Average,50
23,1,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including noise, and performs poorly on unseen data.","In general, Overfitting means a model learns the training data too much.","['overfitting', 'model', 'training data', 'noise', 'unseen data']",Machine Learning,Average,50
23,2,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including noise, and performs poorly on unseen data.","In simple terms, Overfitting means a model learns the training data too much.","['overfitting', 'model', 'training data', 'noise', 'unseen data']",Machine Learning,Average,50
